User ID,Gender,Age,EstimatedSalary,Purchased
15649668,Male,41,79000,not-purchased
15713912,Female,37,78000,purchased
15586757,Male,39,134000,purchased
15596522,Male,49,89000,purchased
15625395,Male,55,39000,purchased
15760570,Male,37,77000,not-purchased
15566689,Female,35,57000,not-purchased
15725794,Female,36,63000,not-purchased
15673539,Male,42,73000,purchased
15705298,Female,43,112000,purchased
15675791,Male,45,79000,not-purchased
15747043,Male,46,117000,purchased
15736397,Female,58,38000,purchased
15678201,Male,48,74000,purchased
15720745,Female,37,137000,purchased
15637593,Male,37,79000,purchased
15598070,Female,40,60000,not-purchased
15787550,Male,42,54000,not-purchased
15603942,Female,51,134000,not-purchased
15733973,Female,47,113000,purchased
15596761,Male,36,125000,purchased
15652400,Female,38,50000,not-purchased
15717893,Female,42,70000,not-purchased
15622585,Male,39,96000,purchased
15733964,Female,38,50000,not-purchased
15753861,Female,49,141000,purchased
15747097,Female,39,79000,not-purchased
15594762,Female,39,75000,purchased
15667417,Female,54,104000,purchased
15684861,Male,35,55000,not-purchased
15742204,Male,45,32000,purchased
15623502,Male,36,60000,not-purchased
15774872,Female,52,138000,purchased
15611191,Female,53,82000,purchased
15674331,Male,41,52000,not-purchased
15619465,Female,48,30000,purchased
15575247,Female,48,131000,purchased
15695679,Female,41,60000,not-purchased
15713463,Male,41,72000,not-purchased
15785170,Female,42,75000,not-purchased
15796351,Male,36,118000,purchased
15639576,Female,47,107000,purchased
15693264,Male,38,51000,not-purchased
15589715,Female,48,119000,purchased
15769902,Male,42,65000,not-purchased
15587177,Male,40,65000,not-purchased
15814553,Male,57,60000,purchased
15601550,Female,36,54000,not-purchased
15664907,Male,58,144000,purchased
15612465,Male,35,79000,not-purchased
15810800,Female,38,55000,not-purchased
15665760,Male,39,122000,purchased
15588080,Female,53,104000,purchased
15776844,Male,35,75000,not-purchased
15717560,Female,38,65000,not-purchased
15629739,Female,47,51000,purchased
15729908,Male,47,105000,purchased
15716781,Female,41,63000,not-purchased
15646936,Male,53,72000,purchased
15768151,Female,54,108000,purchased
15579212,Male,39,77000,not-purchased
15721835,Male,38,61000,not-purchased
15800515,Female,38,113000,purchased
15591279,Male,37,75000,not-purchased
15587419,Female,42,90000,purchased
15750335,Female,37,57000,not-purchased
15699619,Male,36,99000,purchased
15606472,Male,60,34000,purchased
15778368,Male,54,70000,purchased
15671387,Female,41,72000,not-purchased
15573926,Male,40,71000,purchased
15709183,Male,42,54000,not-purchased
15577514,Male,43,129000,purchased
15778830,Female,53,34000,purchased
15768072,Female,47,50000,purchased
15768293,Female,42,79000,not-purchased
15654456,Male,42,104000,purchased
15807525,Female,59,29000,purchased
15574372,Female,58,47000,purchased
15671249,Male,46,88000,purchased
15779744,Male,38,71000,not-purchased
15624755,Female,54,26000,purchased
15611430,Female,60,46000,purchased
15774744,Male,60,83000,purchased
15629885,Female,39,73000,not-purchased
15708791,Male,59,130000,purchased
15793890,Female,37,80000,not-purchased
15646091,Female,46,32000,purchased
15596984,Female,46,74000,not-purchased
15800215,Female,42,53000,not-purchased
15577806,Male,41,87000,purchased
15749381,Female,58,23000,purchased
15683758,Male,42,64000,not-purchased
15670615,Male,48,33000,purchased
15715622,Female,44,139000,purchased
15707634,Male,49,28000,purchased
15806901,Female,57,33000,purchased
15775335,Male,56,60000,purchased
15724150,Female,49,39000,purchased
15627220,Male,39,71000,not-purchased
15672330,Male,47,34000,purchased
15668521,Female,48,35000,purchased
15807837,Male,48,33000,purchased
15592570,Male,47,23000,purchased
15748589,Female,45,45000,purchased
15635893,Male,60,42000,purchased
15757632,Female,39,59000,not-purchased
15691863,Female,46,41000,purchased
15706071,Male,51,23000,purchased
15654296,Female,50,20000,purchased
15755018,Male,36,33000,not-purchased
15594041,Female,49,36000,purchased
